#'units:
#'  windspeed_10m: "m/s"
#'  relativehumidity_2m: "0-1"
#'  surface_pressure: "kPa"
#'  time: "iso8601"
#'  temperature_2m: "°C"
#'  shortwave_radiation: "W/m²"
#'  precipitation: "mm"
#'  diffuse_radiation: "W/m²"
#'  direct_radiation: "W/m²"
#'latitude: 48.90001
#'duration: Day
#'longitude: 2.4000092
#'timezone_abbreviation: "UTC"
#'timezone: "UTC"
#'elevation: 36.0
#'
year,dayofyear,date,duration,Tmin,Tmax,T,Precipitations,Wind,P,Rh,Ca,Ri_SW_f,Ri_SW_q,degree_days
2021,1,2021-01-01,1,-3.2,3.3,-0.05833333333333333,0.0,1.8995833333333338,100.39583333333336,0.9066666666666667,400.0,36.75,3.1752000000000002,0.0
2021,2,2021-01-02,1,-2.9,3.5,0.8249999999999998,0.30000000000000004,1.33125,100.77916666666664,0.94,400.0,40.958333333333336,3.5388,0.0
2021,3,2021-01-03,1,1.2,3.7,2.3125000000000004,0.30000000000000004,2.24,100.71291666666667,0.9187500000000001,400.0,23.958333333333332,2.0700000000000003,0.0
2021,4,2021-01-04,1,1.1,3.6,1.9999999999999998,0.8999999999999999,3.3420833333333335,100.65874999999998,0.9020833333333332,400.0,21.291666666666668,1.8396000000000001,0.0
2021,5,2021-01-05,1,1.2,3.7,2.158333333333333,0.2,3.3529166666666668,100.78458333333329,0.8987500000000002,400.0,26.5,2.2896,0.0
2021,6,2021-01-06,1,0.9,3.9,2.3416666666666672,0.1,2.501666666666667,100.9491666666667,0.9145833333333334,400.0,21.166666666666668,1.8288000000000002,0.0
2021,7,2021-01-07,1,-2.0,3.7,1.325,0.4,1.9079166666666663,101.03625,0.9291666666666666,400.0,31.25,2.7,0.0
2021,8,2021-01-08,1,-3.4,3.9,-0.32916666666666666,0.1,1.7329166666666664,101.16333333333334,0.8999999999999999,400.0,51.208333333333336,4.4244,0.0
2021,9,2021-01-09,1,-1.1,2.6,0.4625000000000001,0.0,3.700833333333333,101.63,0.90875,400.0,46.083333333333336,3.9816000000000003,0.0
2021,10,2021-01-10,1,-1.2,3.7,0.991666666666667,0.0,2.890416666666667,101.84083333333332,0.9083333333333333,400.0,34.916666666666664,3.0168000000000004,0.0
2021,11,2021-01-11,1,-0.9,5.3,2.3333333333333335,0.0,3.12125,101.68583333333332,0.9275000000000001,400.0,35.375,3.0564,0.0
2021,12,2021-01-12,1,4.7,9.0,6.941666666666664,9.8,5.331666666666667,101.02708333333332,0.9279166666666666,400.0,6.541666666666667,0.5652,0.0
2021,13,2021-01-13,1,2.8,9.3,6.645833333333333,1.9000000000000004,3.973333333333333,101.41458333333333,0.9583333333333338,400.0,5.75,0.4968,0.0
2021,14,2021-01-14,1,3.9,9.5,8.295833333333333,5.1,6.259166666666665,100.99375000000002,0.9329166666666667,400.0,9.916666666666666,0.8568,0.0
2021,15,2021-01-15,1,-0.2,3.0,1.2666666666666666,0.2,4.032916666666666,101.99500000000002,0.7762500000000001,400.0,60.333333333333336,5.2128000000000005,0.0
2021,16,2021-01-16,1,-1.2,5.3,0.8333333333333334,6.5,3.697916666666666,101.81666666666666,0.8395833333333331,400.0,14.291666666666666,1.2348000000000001,0.0
2021,17,2021-01-17,1,2.1,6.9,4.570833333333332,0.0,3.53125,101.71333333333331,0.9070833333333335,400.0,46.666666666666664,4.032,0.0
2021,18,2021-01-18,1,1.7,6.7,3.85,0.0,3.3154166666666653,101.97625000000001,0.8891666666666665,400.0,37.083333333333336,3.204,0.0
2021,19,2021-01-19,1,4.6,7.8,5.654166666666666,3.3999999999999995,6.110416666666666,100.84125,0.8420833333333334,400.0,40.916666666666664,3.5352,0.0
2021,20,2021-01-20,1,5.2,11.5,9.0375,0.1,7.276666666666667,99.28374999999998,0.6195833333333333,400.0,39.208333333333336,3.3876000000000004,0.4208333333333334
2021,21,2021-01-21,1,5.3,10.5,8.654166666666669,14.6,8.329583333333334,98.61708333333333,0.8395833333333332,400.0,28.541666666666668,2.466,0.020833333333333332
2021,22,2021-01-22,1,3.7,8.2,5.508333333333334,5.5,2.447083333333333,98.90791666666668,0.8616666666666665,400.0,57.791666666666664,4.993200000000001,0.0
2021,23,2021-01-23,1,1.6,5.3,2.845833333333333,5.3999999999999995,4.37125,98.93750000000001,0.9462500000000001,400.0,30.625,2.6460000000000004,0.0
2021,24,2021-01-24,1,-2.5,2.8,0.8374999999999998,4.500000000000001,4.14375,99.3945833333333,0.9258333333333334,400.0,26.541666666666668,2.2932,0.0
2021,25,2021-01-25,1,-0.6,5.1,2.1791666666666667,0.0,4.464166666666666,100.20249999999999,0.8216666666666667,400.0,50.708333333333336,4.381200000000001,0.0
2021,26,2021-01-26,1,-1.0,5.0,1.6291666666666667,1.1,3.73875,101.43666666666667,0.7941666666666666,400.0,44.791666666666664,3.87,0.0
2021,27,2021-01-27,1,1.7,8.4,5.533333333333334,3.6,3.7933333333333343,100.84916666666668,0.9362500000000002,400.0,13.166666666666666,1.1376000000000002,0.0
2021,28,2021-01-28,1,8.2,13.5,11.279166666666669,7.700000000000001,6.065,100.14916666666669,0.92625,400.0,30.375,2.6244,1.4791666666666667
2021,29,2021-01-29,1,6.5,11.5,9.800000000000002,3.3000000000000003,7.0375000000000005,99.81791666666668,0.8191666666666668,400.0,62.666666666666664,5.4144000000000005,0.3791666666666667
2021,30,2021-01-30,1,6.2,12.2,9.354166666666666,9.8,3.9662500000000005,99.05458333333335,0.8995833333333333,400.0,44.375,3.834,0.425
